QueryType,QueryValue,ActivityType,JobPostUrl,CompanyName,CompanyWebsite,JobTitle,JobLocation,PostedOn,NumberOfApplicants,Industry,EmploymentType,SeniorityLevel,JobFunction,JobPosterProfileUrl,JobPosterFirstName,JobPosterLastName,DegreeOfConnection,ScrapedDate
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2201359183,Colaborador Educativo,N/A,Trabajo Ayudante Mueblista,Santiago Santiago Metropolitan Chile,10/07/2020 21:00:00,1,Marketing & Advertising. Security & Investigations. Human Resources,Full-time,Entry level,Education. Training,N/A,N/A,N/A,N/A,10/19/2020 9:56:25 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207850179,Grupo Unísono,http://www.grupounisono.es,Ejecutivo Atención al Cliente en Teletrabajo 45 hrs turno de madrugada,Las Condes Santiago Metropolitan Chile,10/14/2020 23:42:41,25,Consumer Services,Full-time,Entry level,Business Development. Sales,N/A,N/A,N/A,N/A,10/19/2020 11:24:32 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212502899,Munoz Group,http://www.munoz.co.uk,Maestros ceramistas,Lo Barnechea Santiago Metropolitan Chile,10/04/2020 02:40:43,0,Real Estate. Transportation/Trucking/Railroad. Hospitality,Full-time,Entry level,Education. Training,N/A,N/A,N/A,N/A,10/19/2020 11:25:15 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2210995864,Multinacional de Seguros,http://www.multinacional.com.ve,Encargado - Pirque,Santiago Santiago Metropolitan Chile,09/21/2020 07:50:23,1,Primary/Secondary Education. Higher Education. Human Resources,Full-time,Mid-Senior level,Management. Manufacturing,N/A,N/A,N/A,N/A,10/19/2020 11:25:54 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2201359503,+Salud,http://www.massalud.com.gt,Trabajo Recepcionista Administrativo - Las Condes,Santiago Santiago Metropolitan Chile,09/30/2020 21:00:00,100,Marketing & Advertising. Human Resources. Financial Services,Full-time,Entry level,Other,N/A,N/A,N/A,N/A,10/19/2020 11:26:52 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2201349809,Emaresa S. A.,http://www.emaresa.cl,Trabajo Ejecutivo De Ventas,Santiago Santiago Metropolitan Chile,10/08/2020 21:00:00,47,Telecommunications. Human Resources. Accounting,Full-time,Associate,Sales. Business Development,N/A,N/A,N/A,N/A,10/19/2020 11:27:38 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2213705635,inmobiliaria y constructora nueva pacifico sur limitada,http://www.jcsaudfltda.com,Asistente Administrativo,Santiago Santiago Metropolitan Chile,10/17/2020 07:55:56,45,Construction. Staffing & Recruiting. Human Resources,Full-time,Entry level,Administrative,N/A,N/A,N/A,N/A,10/19/2020 11:28:14 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212529601,Inmune,http://www.inmune.cl/,Desarrollador Junior - Santiago,Santiago Santiago Metropolitan Chile,10/16/2020 22:59:31,21,Human Resources. Insurance. Hospital & Health Care,Full-time,Entry level,Engineering. Information Technology,N/A,N/A,N/A,N/A,10/19/2020 11:29:06 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2203970438,Empresa del sector IT,N/A,Supervisor/a de Planificación y Postventa - Renca,Renca Santiago Metropolitan Chile,09/18/2020 17:41:41,2,Marketing & Advertising. Food & Beverages. Human Resources,Full-time,Mid-Senior level,Management. Manufacturing,N/A,N/A,N/A,N/A,10/19/2020 11:30:07 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2205562567,Constructora,http://www.lebesa.com.ar,Jornales - Mineria,Santiago Santiago Metropolitan Chile,10/08/2020 07:44:45,1,Information Technology & Services. Civil Engineering. Human Resources,Full-time,Not Applicable,Other,N/A,N/A,N/A,N/A,10/19/2020 11:30:50 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2204017212,Global Jobs,http://www.globaljobs.cl,Técnico en Alimentación de nivel medio o superior - Vitacura,Vitacura Santiago Metropolitan Chile,09/18/2020 18:07:09,2,Human Resources. Health Wellness & Fitness. Hospital & Health Care,Full-time,Associate,Marketing. Public Relations. Writing/Editing,N/A,N/A,N/A,N/A,10/19/2020 11:31:41 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2219140015,CMPC,https://www.cmpc.com/,Planificador Técnico,Talagante Santiago Metropolitan Chile,10/18/2020 21:00:00,1,Paper & Forest Products,Full-time,Entry level,Engineering. Information Technology,N/A,N/A,N/A,N/A,10/19/2020 11:32:20 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212536008,Grupo Unísono,http://www.grupounisono.es,Ejecutivo Atención al Cliente en Teletrabajo 45 hrs Turno de día - Las Condes,Las Condes Santiago Metropolitan Chile,10/16/2020 23:00:19,14,Internet. Human Resources. Outsourcing/Offshoring,Full-time,Executive,Business Development. Sales,N/A,N/A,N/A,N/A,10/20/2020 1:17:28 AM
